시도명,시군구명,읍면동명,어트랙션,어트랙션 목록
서울특별시,종로구,창신제1동,여행지,"청계천, 테지움 테디베어 테마파크 서울점, 창신 숭인 채석장전망대, 산마루 놀이터, 서울한양도성길2코스(낙산), 비우당"
서울특별시,종로구,창신제1동,볼거리/놀거리/명소,"산마루 놀이터, 창신동문구완구시장, 청계천, 창신 숭인 채석장전망대, 테지움 테디베어 테마파크 서울점, 뭐든지 책방"
서울특별시,종로구,창신제1동,취미생활,"예술가의 집, 헤이온데이, 미스티코, 대성무역, 만족오케이, 그린아울"
서울특별시,종로구,창신제1동,맛집,"동래복국 본점, 창신동매운족발, 에베레스트 레스토랑 동대문점, 테르트르, 낙산냉면, 정그리다"
서울특별시,종로구,창신제1동,카페,"테르트르, 정그리다, 차차티클럽 창신점, 도넛정수 창신점, 투썸플레이스 동묘앞역점, 이문커피"
서울특별시,종로구,창신제1동,아이와함께,"이음피움 봉제역사관, 낙산공원, 디키디키, 더가루 왕십리점, 릴리펏 현대시티아울렛동대문점, 한양도성박물관"
서울특별시,종로구,창신제2동,여행지,"청계천, 테지움 테디베어 테마파크 서울점, 창신 숭인 채석장전망대, 산마루 놀이터, 서울한양도성길2코스(낙산), 비우당"
서울특별시,종로구,창신제2동,볼거리/놀거리/명소,"산마루 놀이터, 창신동문구완구시장, 청계천, 창신 숭인 채석장전망대, 테지움 테디베어 테마파크 서울점, 뭐든지 책방"
서울특별시,종로구,창신제2동,취미생활,"예술가의 집, 헤이온데이, 미스티코, 대성무역, 성인취미미술아트아뜰리에 강북점, 만족오케이"
서울특별시,종로구,창신제2동,맛집,"동래복국 본점, 창신동매운족발, 에베레스트 레스토랑 동대문점, 테르트르, 낙산냉면, 정그리다"
서울특별시,종로구,창신제2동,카페,"테르트르, 정그리다, 차차티클럽 창신점, 도넛정수 창신점, 투썸플레이스 동묘앞역점, 이문커피"
서울특별시,종로구,창신제2동,아이와함께,"이음피움 봉제역사관, 낙산공원, 디키디키, 릴리펏 현대시티아울렛동대문점, 한양도성박물관, 종로구립혜명아이들상상놀이터"
서울특별시,종로구,창신제3동,여행지,"청계천, 테지움 테디베어 테마파크 서울점, 창신 숭인 채석장전망대, 산마루 놀이터, 서울한양도성길2코스(낙산), 비우당"
서울특별시,종로구,창신제3동,볼거리/놀거리/명소,"산마루 놀이터, 창신동문구완구시장, 청계천, 창신 숭인 채석장전망대, 테지움 테디베어 테마파크 서울점, 뭐든지 책방"
서울특별시,종로구,창신제3동,취미생활,"예술가의 집, 헤이온데이, 미스티코, 대성무역, 성인취미미술아트아뜰리에 강북점, 그린아울"
서울특별시,종로구,창신제3동,맛집,"동래복국 본점, 창신동매운족발, 에베레스트 레스토랑 동대문점, 테르트르, 낙산냉면, 정그리다"
서울특별시,종로구,창신제3동,카페,"테르트르, 정그리다, 차차티클럽 창신점, 도넛정수 창신점, 투썸플레이스 동묘앞역점, 이문커피"
서울특별시,종로구,창신제3동,아이와함께,"이음피움 봉제역사관, 낙산공원, 디키디키, 릴리펏 현대시티아울렛동대문점, 한양도성박물관, 디자인놀이터 동대문디자인플라자M배움터점"
서울특별시,종로구,숭인제1동,여행지,"동묘공원, 동관왕묘, 묘각사 템플스테이, 숭인근린공원, 낙산묘각사, 서울동묘공원"
서울특별시,종로구,숭인제1동,볼거리/놀거리/명소,"동묘 벼룩시장, 숭인근린공원, 동묘공원, 동아볼링센타, 묘각사 템플스테이, 아름꿈도서관"
서울특별시,종로구,숭인제1동,취미생활,"헤이온데이, 미스티코, 대성무역, 성인취미미술아트아뜰리에 강북점, 만족오케이, 그린아울"
서울특별시,종로구,숭인제1동,맛집,"동묘백숙닭국수, 학술적연구소, 6일닭강정, 브라이트사이드, 올덴브라운 동묘점, 본고향맛집 동묘점"
서울특별시,종로구,숭인제1동,카페,"브라이트사이드, 올덴브라운 동묘점, 스타벅스 동묘앞역점, 버터룸, 키노빈스 동묘점, 카페N258"
서울특별시,종로구,숭인제1동,아이와함께,"디키디키, 더가루 왕십리점, 릴리펏 현대시티아울렛동대문점, 한양도성박물관, 이음피움 봉제역사관, 다산어린이공원"
서울특별시,종로구,숭인제2동,여행지,"동묘공원, 동관왕묘, 묘각사 템플스테이, 숭인근린공원, 낙산묘각사, 서울동묘공원"
서울특별시,종로구,숭인제2동,볼거리/놀거리/명소,"동묘 벼룩시장, 숭인근린공원, 동묘공원, 동아볼링센타, 묘각사 템플스테이, 아름꿈도서관"
서울특별시,종로구,숭인제2동,취미생활,"헤이온데이, 미스티코, 대성무역, 만족오케이, 그린아울, 직장인 극단 아해"
서울특별시,종로구,숭인제2동,맛집,"동묘백숙닭국수, 학술적연구소, 6일닭강정, 브라이트사이드, 올덴브라운 동묘점, 본고향맛집 동묘점"
서울특별시,종로구,숭인제2동,카페,"브라이트사이드, 올덴브라운 동묘점, 스타벅스 동묘앞역점, 버터룸, 키노빈스 동묘점, 카페N258"
서울특별시,종로구,숭인제2동,아이와함께,"디키디키, 더가루 왕십리점, 릴리펏 현대시티아울렛동대문점, 한양도성박물관, 이음피움 봉제역사관, 다산어린이공원"
서울특별시,중구,소공동,여행지,"덕수궁, 서울광장, 정동전망대, 덕수궁돌담길, 환구단, 덕수궁대한문"
서울특별시,중구,소공동,볼거리/놀거리/명소,"덕수궁, 서울시립미술관, 정동전망대, 롯데백화점 본점, 세실극장옥상전망대, 농업박물관"
서울특별시,중구,소공동,취미생활,"스카팩토리, 틈 틈틈이 하는 취미 생활, 취미상점"
서울특별시,중구,소공동,맛집,"참치공방 시청점, 구정옥, 진주회관, 유림면, 만족오향족발 시청점, 덕수궁 리에제와플, 커피루소 정동, 커피앤시가렛"
서울특별시,중구,소공동,카페,"덕수궁 카페 돌담콩, 덕수궁 리에제와플, 커피루소 정동, 커피앤시가렛, 르풀, 라운드앤드, 덕수궁 카페 돌담콩, 커피스니퍼 시청점"
서울특별시,중구,소공동,아이와함께,"농업박물관, 배재학당역사박물관, 덕수궁대한제국역사관, 구세군역사박물관, 국토발전전시관, 쌀박물관"
서울특별시,중구,회현동,여행지,"문화역서울284, 남산케이블카, 안중근의사기념관, 남산, 남산공원백범광장, 서울로7017"
서울특별시,중구,회현동,볼거리/놀거리/명소,"문화역서울284, 피크닉, 신세계백화점 본점, 남산케이블카, 도킹서울, 남대문시장"
서울특별시,중구,회현동,취미생활,"스카팩토리, 퐁슬리공방, 틈 틈틈이 하는 취미 생활, 패턴119, 서이숲, 취미상점"
서울특별시,중구,회현동,맛집,"화기, 심플러 회현점, 부원면옥, 어반플랜트 명동, 란주라미엔, 성원갈비 명동본점, 희락갈치, 남산돈까스전문점"
서울특별시,중구,회현동,카페,"네스트 키즈, K SPOT 수국전망대 카페, 어반플랜트 명동, 계단집, 스타벅스 레스케이프호텔R점, 스타벅스 별다방점, 유월커피 회현점, 코코너즘랩"
서울특별시,중구,회현동,아이와함께,"우표박물관, 서울특별시교육청과학전시관 남산분관, 한양도성유적전시관, 프로맘킨더 신세계백화점 본점, 우리은행 은행사박물관, 포룸VR"
서울특별시,중구,명동,여행지,"청계광장, 명동거리, 남산케이블카, 남산공원, 남산, 남산공원백범광장"
