city,title,label
경상남도,거제맹종죽테마공원,0
경상남도,거제시,0
경상남도,거제시농업개발원,0
경상남도,거제자연예술랜드,0
경상남도,거제자연휴양림,0
경상남도,거제향교,0
경상남도,거제현 관아,0
경상북도,거조암,0
강원도,거진 등대,0
강원도,거진1리해변,0
강원도,거진11리해변,0
강원도,거진등대해맞이공원,0
강원도,거진항,0
전라남도,거차뻘배마을,0
경상남도,거창 갈계리 임씨고가,0
경상남도,거창 감악사지 부도,0
경상남도,거창 강남사지 석조여래입상,0
경상남도,거창 거기리 성황단,0
경상남도,거창 내오리 지석묘,0
경상남도,거창 농산리 석조여래입상,0
경상남도,거창 당동당산,0
경상남도,거창 동계 종택(정온선생고택),0
경상남도,거창 동호리 이씨고가,0
경상남도,거창 둔마리 벽화 고분,0
경상남도,거창 무릉리 정씨고가,0
경상남도,거창 서변마을,0
경상남도,거창 솔향기돌담마을,0
경상남도,거창 수승대,0
경상남도,거창 숲옛마을 [농촌전통테마],0
경상남도,거창 요수정,0
경상남도,거창 황금원숭이마을,0
경상남도,거창 황산리 신씨고가,0
경상남도,거창 황산마을 옛 담장,0
경상남도,거창사건추모공원,0
경상남도,거창승강기 R&D센터,0
경상남도,거창향교,0
강원도,거칠현,0
경기도,건강나라,0
경상남도,건계정,0
강원도,건등낚시터,0
강원도,건봉다시마장산지,0
강원도,건봉사,0
강원도,건봉사 능파교,0
강원도,건봉사 불이문,0
강원도,건봉사지,0
대전,건축환경연구센터,0
제주도,걸시오름,0
경기도,걸포중앙공원,0
충청남도,검계서원,0
경기도,검단사(파주),0
경기도,검단산,0
강원도,검룡소,0
제주도,검멀레해변,0
강원도,검봉산자연휴양림,0
충청북도,검암서원,0
전라북도,격포마을,0
전라북도,격포항,0
전라북도,격포해변,0
전라북도,견두산,0
경상북도,견훤산성,0
충청남도,결성동헌,0
충청남도,결성향교,0
전라남도,겸면목화공원,0
전라남도,겸천서원,0
전라북도,경각산,0
경상북도,경광서원,0
서울,경국사(서울),0
경기도,경기 가평군,0
경기도,경기 과천시,0
