,0
694,빨갱이 공산주의자 및 북한인을 일컫는 멸칭인데 최근에 한국에선 좌파적 정치 사상을 가진 사람을 비난하는 용도로 확장되었다.
695,빨어핥어박어
696,빨자좃
697,빨자좆
698,빨통 유방을 일컽는 속어
699,빽보지
700,빽자지
701,뺀질이
702,뺑신
703,뺑쒼
704,뺑씬
705,뺘큐
706,뻐어큐
707,뻐큐
708,뻐큐
709,뻐큐 Fuck You의 한국식 발음.
710,뻐킹
711,뻑큐
712,뼁끼
713,뼝신
714,뽀개
715,뽀로노
716,뽀록나다
717,뽀르나
718,뽀르너
719,뽀르노
720,뽀쥐
721,뽀지
722,뽀쮜
723,뽁큐
724,뽕알
725,뿅신
726,뿅씬
727,뿡알
728,쁑신
729,삐꾸
730,삐꾸 병신과 비슷한 뜻이다. 90년대 널리 사용되었으나 요즘은 거의 사용되지 않는다.
731,삥쉰
732,삥쒼
733,삥씬
734,사까시
735,사까치
736,사내새끼
737,사내자식
738,사이버섹스
739,사창가
740,사카시
741,사카치
742,삽쥘
743,삿가시
744,삿까시
745,삿깟시
746,상넘이
747,상년
748,상노무
749,상놈
750,상놈을
751,상놈의
752,상놈이
753,상판대기
754,상폐녀
755,새X
756,새갸
757,새꺄
758,새꺄
759,새뀌
760,새끠
761,새끼
762,새뤼
763,새새끼
764,새에끼
765,새키
766,새키
767,색갸
768,색걸
769,색골
770,색광
771,색기
772,색꺄
773,색끼
774,색끼
775,색남
776,색녀
777,색마
778,색스
779,색스
780,색쑤
781,색쓰
782,색캬
783,색키
784,색할
785,색햐
786,색히
787,샊꺄
788,생쑈
789,샤불년
790,샤앙년
791,샵년
792,샹넘
793,샹년
794,샹놈
795,샹늠
796,성관계
797,성교
798,성매매
799,성섹스
800,성욕구
801,성인용품
802,성체위
803,성체험
804,성추행
805,성충동
806,성폭력
807,성폭행
808,성행위
809,세갸
810,세게빨아
811,세꺄
812,세꺄
813,세뀌
814,세끠
815,세끼
816,세끼
817,세액스
818,세에끼
819,세에쓰
820,세엑
821,세퀴
822,세키
823,섹s
824,섹남
825,섹녀
826,섹마
827,섹보지
828,섹수
829,섹쉬
830,섹슈
831,섹스
832,섹스
833,섹시
834,섹파트너
835,섹하자
836,섹하장
837,섹할
838,섹해
839,섹히
840,쇠고랑
841,쇼하네
842,수간
843,수음
844,쉐
845,쉐기
846,쉐끼
847,쉐리
848,쉐에기
849,쉐키
850,쉑
851,쉑수
852,쉑스
853,쉑쑤
854,쉑쓰
855,쉑캬
856,쉬발
857,쉬밸
858,쉬벌
859,쉬뻘
860,쉬펄
861,쉴드
862,쉽알
863,스와핑
864,스트립쇼
865,스트립쑈
866,스패킹
867,스팽
868,스펄
869,시궁창
870,시끼
871,시댕
872,시뎅
873,시랄
874,시발
875,시벌
876,시부랄
877,시부럴
878,시부리
879,시불
